Nome da Notícia,Link da Matéria
,https://www.cnnbrasil.com.br/
Ao Vivo,https://www.cnnbrasil.com.br/ao-vivo/
Política,https://www.cnnbrasil.com.br/politica/
Eleições,https://www.cnnbrasil.com.br/eleicoes/
Eleições nos EUA,https://www.cnnbrasil.com.br/internacional/eleicoes-nos-eua-2024/
Nacional,https://www.cnnbrasil.com.br/nacional/
Economia,https://www.cnnbrasil.com.br/economia/
Notícias,https://www.cnnbrasil.com.br/economia/
Investimentos,https://www.cnnbrasil.com.br/economia/investimentos
Mercado,https://www.cnnbrasil.com.br/economia/mercado/ultimas-noticias/
Cotações,https://www.cnnbrasil.com.br/cotacoes/bolsa/
Loterias,https://www.cnnbrasil.com.br/economia/loterias/
Mega Sena,https://www.cnnbrasil.com.br/economia/loterias/megasena/
Quina,https://www.cnnbrasil.com.br/economia/loterias/quina/
Lotofacil,https://www.cnnbrasil.com.br/economia/loterias/lotofacil/
Lotomania,https://www.cnnbrasil.com.br/economia/loterias/lotomania/
Duplasena,https://www.cnnbrasil.com.br/economia/loterias/duplasena/
Loteria Federal,https://www.cnnbrasil.com.br/economia/loterias/federal/
Timemania,https://www.cnnbrasil.com.br/economia/loterias/timemania/
Loteca,https://www.cnnbrasil.com.br/economia/loterias/loteca/
Dia de Sorte,https://www.cnnbrasil.com.br/economia/loterias/diadesorte/
Super Sete,https://www.cnnbrasil.com.br/economia/loterias/supersete/
Internacional,https://www.cnnbrasil.com.br/internacional/
Entretenimento,https://www.cnnbrasil.com.br/pop/
Saúde,https://www.cnnbrasil.com.br/saude/
Esportes,https://www.cnnbrasil.com.br/esportes/
Notícias,https://www.cnnbrasil.com.br/esportes/
Futebol,https://www.cnnbrasil.com.br/esportes/futebol/
Basquete,https://www.cnnbrasil.com.br/esportes/basquete/
Automobilismo,https://www.cnnbrasil.com.br/esportes/automobilismo/
Tênis,https://www.cnnbrasil.com.br/esportes/tenis/
E-Sports,https://www.cnnbrasil.com.br/esportes/esports/
Especial SXSW,https://www.cnnbrasil.com.br/tecnologia/especial-sxsw
Tecnologia,https://www.cnnbrasil.com.br/tecnologia/
Lifestyle,https://www.cnnbrasil.com.br/lifestyle/
Viagem & Gastronomia,https://www.cnnbrasil.com.br/viagemegastronomia/
Fórum CNN,https://www.cnnbrasil.com.br/opiniao
Blogs CNN,https://www.cnnbrasil.com.br/blogs/
Programação,https://conteudos.cnnbrasil.com.br/programacao-cnn-brasil/
Equipe CNN Brasil,https://conteudos.cnnbrasil.com.br/equipe-cnn-brasil/
Newsletters,https://newsletter.cnnbrasil.com.br/
Colunistas,https://www.cnnbrasil.com.br/colunistas/
Sobre a CNN,https://conteudos.cnnbrasil.com.br/sobre-a-cnn-brasil/
Política de Privacidade,https://conteudos.cnnbrasil.com.br/privacidade/
Termos de Uso,https://conteudos.cnnbrasil.com.br/termos-de-uso-da-cnn-brasil/
Fale com a CNN,https://conteudos.cnnbrasil.com.br/fale-com-a-cnn/
Distribuição do Sinal,https://hotsite.cnnbrasil.com.br/distribuicao/
Faça parte da Equipe CNN,https://cnnbrasil.gupy.io/
Ao vivo,https://www.cnnbrasil.com.br/ao-vivo/
Política,https://www.cnnbrasil.com.br/politica/
Economia,https://www.cnnbrasil.com.br/economia/
Esportes,https://www.cnnbrasil.com.br/esportes/
Pop,https://www.cnnbrasil.com.br/pop/
Viagem & Gastronomia,https://www.cnnbrasil.com.br/viagemegastronomia/
Especial SXSW,https://www.cnnbrasil.com.br/tecnologia/especial-sxsw
Suécia entra oficialmente na Otan e se torna o 32º membro da aliança militar,https://www.cnnbrasil.com.br/internacional/suecia-entra-oficialmente-na-otan-e-se-torna-o-32o-membro-da-alianca/
Ucrânia diz que não pode descartar que Zelensky seria alvo de ataque em Odessa,https://www.cnnbrasil.com.br/internacional/ucrania-diz-que-nao-pode-descartar-que-zelensky-seria-alvo-de-ataque-em-odessa/
PT busca minimizar impactos do PL no comando da CCJ e da Comissão de Educação,https://www.cnnbrasil.com.br/politica/pt-busca-minimizar-impactos-do-pl-no-comando-da-ccj-e-da-comissao-de-educacao/
"À CNN, Nikolas fala em convocar ministro para comissão",https://www.cnnbrasil.com.br/blogs/debora-bergamasco/politica/a-cnn-nikolas-ferreira-fala-em-convocar-ministro-para-comissao-de-educacao/
Atuação de Nikolas em comissão preocupa integrantes do MEC,https://www.cnnbrasil.com.br/blogs/julliana-lopes/politica/atuacao-de-nikolas-ferreira-em-comissao-da-educacao-preocupa-integrantes-do-mec/
“Sobrevivente designado”; conheça protocolo da Guerra Fria adotado em discurso de Biden,https://www.cnnbrasil.com.br/internacional/sobrevivente-designado-conheca-protocolo-da-guerra-fria-adotado-em-discurso-de-biden/
Aliados de Biden imploram para ele ser mais firme e lutar mais,https://www.cnnbrasil.com.br/internacional/eleicoes-nos-eua-2024/aliados-de-biden-imploram-para-ele-ser-mais-firme-e-lutar-mais-discurso-do-estado-da-uniao-e-sua-chance/
Análise: EUA nunca tiveram um candidato como Trump,https://www.cnnbrasil.com.br/internacional/eleicoes-nos-eua-2024/analise-eua-nunca-tiveram-um-candidato-como-donald-trump/
Ver mais,https://www.cnnbrasil.com.br/blogs/
